TSP,SO2,SO4,NO2,date,YY,MM
28.741935483870968,0.1906451612903226,1.1290322580645165,0.0,1994-07-01,94,7
31.066666666666666,0.1806451612903226,1.5161290322580645,0.0,1994-08-01,94,8
41.36666666666667,0.32249999999999995,1.9700000000000002,0.0,1994-09-01,94,9
34.13636363636363,0.49000000000000005,1.4032258064516128,0.0,1994-10-01,94,10
27.47826086956522,0.9183333333333334,1.460869565217391,0.0,1994-11-01,94,11
10.0,1.0076666666666667,2.6900000000000004,0.0,1995-12-01,95,12
34.03448275862069,3.1990322580645163,5.062068965517242,0.0,1995-01-01,95,1
28.857142857142858,1.2042857142857142,1.671428571428572,0.0,1995-02-01,95,2
26.516129032258064,0.9409677419354839,2.6322580645161286,0.0,1995-03-01,95,3
57.666666666666664,0.8973333333333335,3.9933333333333327,0.0,1995-04-01,95,4
61.903225806451616,0.5099999999999999,3.080645161290323,0.0,1995-05-01,95,5
42.357142857142854,0.5742857142857142,2.971428571428571,0.0,1995-06-01,95,6
36.483870967741936,0.3822580645161291,1.8967741935483868,0.0,1995-07-01,95,7
34.05555555555556,0.41362068965517235,2.1777777777777785,0.0,1995-08-01,95,8
28.31578947368421,0.68,2.7550000000000003,0.0,1995-09-01,95,9
12.76923076923077,0.4227419354838711,1.7150000000000003,0.0,1995-10-01,95,10
12.833333333333334,0.5750000000000001,1.416,0.0,1995-11-01,95,11
13.058823529411764,1.88741935483871,2.5655172413793106,0.0,1996-12-01,96,12
18.5,5.070322580645161,3.3150000000000004,0.0,1996-01-01,96,1
13.894736842105264,4.258620689655173,3.373684210526315,0.0,1996-02-01,96,2
19.483870967741936,2.8477419354838713,4.195161290322582,0.0,1996-03-01,96,3
43.63333333333333,1.3916666666666668,3.9733333333333323,0.0,1996-04-01,96,4
56.17391304347826,0.5960869565217392,3.465217391304348,0.0,1996-05-01,96,5
41.642857142857146,0.28589285714285717,2.6142857142857143,0.0,1996-06-01,96,6
36.2,0.10177419354838707,2.0533333333333332,0.0,1996-07-01,96,7
29.653846153846153,0.30629032258064515,2.883870967741935,0.0,1996-08-01,96,8
31.85185185185185,0.20624999999999996,2.4232142857142853,0.0,1996-09-01,96,9
17.555555555555557,0.47124999999999995,2.599999999999999,0.0,1996-10-01,96,10
17.310344827586206,0.3549999999999999,3.7344827586206892,0.0,1996-11-01,96,11
6.9523809523809526,2.8635483870967735,2.3714285714285714,6.328571428571427,1997-12-01,97,12
8.666666666666666,1.6570967741935483,1.748387096774194,0.0,1997-01-01,97,1
11.428571428571429,1.6212499999999999,2.2428571428571424,0.0,1997-02-01,97,2
14.785714285714286,0.5996774193548389,1.7274193548387096,0.0,1997-03-01,97,3
22.166666666666668,0.7263333333333334,2.1750000000000003,0.0,1997-04-01,97,4
53.8125,0.29032258064516125,1.8625,0.0,1997-05-01,97,5
38.8235294117647,0.15796296296296297,1.7421052631578948,0.0,1997-06-01,97,6
33.8421052631579,0.1546774193548387,1.0749999999999997,0.0,1997-07-01,97,7
30.105263157894736,0.28933333333333333,1.7999999999999996,2.659047619047619,1997-08-01,97,8
29.57894736842105,0.364,2.3999999999999995,3.1888888888888887,1997-09-01,97,9
13.11111111111111,0.533888888888889,2.3425000000000002,4.095000000000001,1997-10-01,97,10
13.85,1.3272222222222223,4.005,3.8699999999999997,1997-11-01,97,11
9.928571428571429,2.0166666666666666,3.1399999999999997,4.689473684210526,1998-12-01,98,12
13.476190476190476,2.3061290322580645,3.9142857142857124,8.08,1998-01-01,98,1
14.384615384615385,2.4733333333333327,3.5230769230769234,3.8470588235294123,1998-02-01,98,2
9.466666666666667,1.2351612903225806,3.53125,4.704761904761905,1998-03-01,98,3
29.666666666666668,0.7824137931034482,4.153333333333333,3.0649999999999995,1998-04-01,98,4
56.6875,0.19935483870967738,2.79375,2.2047619047619045,1998-05-01,98,5
38.8235294117647,0.17047619047619048,4.46,1.4928571428571427,1998-06-01,98,6
24.0,0.025416666666666667,1.0749999999999997,1.7374999999999998,1998-07-01,98,7
22.076923076923077,0.018064516129032256,1.4461538461538466,1.5619047619047617,1998-08-01,98,8
38.53846153846154,0.10766666666666666,1.7066666666666668,2.4157894736842103,1998-09-01,98,9
5.833333333333333,0.23354838709677414,1.6105263157894734,3.082608695652174,1998-10-01,98,10
2.8333333333333335,1.7590000000000001,2.7333333333333334,6.821739130434783,1998-11-01,98,11
11.0,1.1258064516129034,2.9375,2.1049999999999995,1999-12-01,99,12
11.866666666666667,2.3061290322580645,3.075,8.08,1999-01-01,99,1
16.5,4.919230769230769,3.284615384615385,3.938888888888888,1999-02-01,99,2
19.75,1.4741935483870965,3.006249999999999,4.166666666666666,1999-03-01,99,3
44.53333333333333,0.645,2.283333333333333,2.7499999999999996,1999-04-01,99,4
35.3125,0.482258064516129,1.7937499999999997,1.4619047619047618,1999-05-01,99,5
32.857142857142854,0.5775862068965519,2.073333333333333,1.405,1999-06-01,99,6
33.8,0.12741935483870964,5.1066666666666665,2.085,1999-07-01,99,7
24.666666666666668,0.09838709677419352,1.6133333333333337,2.705263157894737,1999-08-01,99,8
24.25,0.16071428571428575,1.7208333333333334,2.9222222222222225,1999-09-01,99,9
14.357142857142858,0.4741935483870967,1.7156250000000002,2.695238095238095,1999-10-01,99,10
4.916666666666667,2.566666666666667,1.7666666666666666,4.735,1999-11-01,99,11
11.64516129032258,0.26612903225806456,1.929032258064516,7.3100000000000005,2000-12-01,0,12
18.8,1.5806451612903225,3.813333333333334,2.447619047619047,2000-01-01,0,1
18.785714285714285,0.398076923076923,2.0285714285714285,1.9235294117647062,2000-02-01,0,2
14.0,0.3532258064516129,2.1875,1.2999999999999998,2000-03-01,0,3
45.733333333333334,0.9683333333333335,3.4733333333333336,1.9052631578947365,2000-04-01,0,4
34.4,0.24516129032258052,1.575,1.9809523809523806,2000-05-01,0,5
29.933333333333334,0.515,0.9533333333333335,2.1700000000000004,2000-06-01,0,6
29.6875,0.13548387096774192,1.4249999999999998,1.3857142857142857,2000-07-01,0,7
15.46875,0.42580645161290337,1.21875,3.0095238095238095,2000-08-01,0,8
18.066666666666666,0.13666666666666663,1.0333333333333332,3.8049999999999997,2000-09-01,0,9
17.8125,0.1833333333333332,2.5625,4.07,2000-10-01,0,10
14.466666666666667,0.26,3.0249999999999995,5.86,2000-11-01,0,11
11.64516129032258,0.26612903225806456,1.929032258064516,7.3100000000000005,2001-12-01,1,12
13.868421052631579,0.3548387096774193,2.947368421052632,6.310000000000002,2001-01-01,1,1
26.31578947368421,0.9053571428571429,2.636842105263158,4.742105263157894,2001-02-01,1,2
19.11111111111111,0.37741935483870975,2.233333333333333,4.514999999999999,2001-03-01,1,3
49.3,0.23999999999999994,4.995,3.5149999999999997,2001-04-01,1,4
28.7,0.24499999999999986,1.3526315789473684,2.345,2001-05-01,1,5
26.85,0.3399999999999999,1.7200000000000002,2.505,2001-06-01,1,6
38.5,0.1483870967741935,1.4533333333333334,2.112,2001-07-01,1,7
14.2,0.06612903225806452,1.4133333333333333,3.590909090909091,2001-08-01,1,8
5.5,0.07,1.4000000000000001,3.9157894736842103,2001-09-01,1,9
17.8125,0.31451612903225806,2.5625,4.423809523809523,2001-10-01,1,10
14.466666666666667,0.26,3.0249999999999995,5.86,2001-11-01,1,11
8.8125,2.2193548387096778,4.99375,11.890476190476189,2002-12-01,2,12
22.5625,0.6535714285714287,2.9937499999999995,6.621052631578948,2002-01-01,2,1
23.76923076923077,0.3749999999999998,2.0615384615384618,4.664705882352941,2002-02-01,2,2
25.4375,0.40967741935483865,2.19375,6.073684210526315,2002-03-01,2,3
43.13333333333333,1.1666666666666665,3.019999999999999,5.159999999999999,2002-04-01,2,4
27.9375,0.16290322580645167,1.553125,4.121052631578947,2002-05-01,2,5
33.0,0.13399999999999995,0.9999999999999998,3.570000000000001,2002-06-01,2,6
34.785714285714285,0.11935483870967743,1.714285714285714,4.109523809523809,2002-07-01,2,7
33.0625,0.24354838709677412,3.44375,5.45909090909091,2002-08-01,2,8
48.333333333333336,0.1449999999999999,7.673333333333333,5.465,2002-09-01,2,9
14.875,0.15322580645161285,1.4374999999999996,4.575,2002-10-01,2,10
7.066666666666666,0.44000000000000006,1.5733333333333333,6.025000000000001,2002-11-01,2,11
8.8125,2.2193548387096778,4.99375,11.890476190476189,2003-12-01,3,12
20.9375,1.5193548387096778,3.5812500000000003,5.013636363636363,2003-01-01,3,1
9.785714285714286,2.392857142857143,3.614285714285714,10.616666666666667,2003-02-01,3,2
30.875,1.5225806451612904,3.7125,6.782608695652174,2003-03-01,3,3
33.13333333333333,1.2233333333333336,4.680000000000001,4.383333333333334,2003-04-01,3,4
44.875,1.1258064516129034,2.3125,4.533333333333333,2003-05-01,3,5
30.6,0.20499999999999993,0.817857142857143,5.180000000000001,2003-06-01,3,6
30.9375,0.182258064516129,2.7875000000000005,3.525000000000001,2003-07-01,3,7
34.25,0.10645161290322583,1.2187500000000002,4.1952380952380945,2003-08-01,3,8
18.428571428571427,0.35666666666666663,2.0214285714285714,5.552631578947368,2003-09-01,3,9
14.875,0.15322580645161285,1.4374999999999996,4.575,2003-10-01,3,10
7.066666666666666,0.44000000000000006,1.5733333333333333,6.025000000000001,2003-11-01,3,11
11.076923076923077,0.7419354838709677,2.7384615384615385,11.890476190476189,2004-12-01,4,12
12.4375,2.1290322580645165,3.2187500000000004,7.995238095238094,2004-01-01,4,1
21.0,3.337931034482759,3.2499999999999996,11.9,2004-02-01,4,2
26.066666666666666,0.874193548387097,1.4733333333333336,9.556521739130437,2004-03-01,4,3
17.285714285714285,1.4900000000000004,1.3142857142857145,4.4350000000000005,2004-04-01,4,4
26.9375,0.18387096774193537,1.8875000000000002,4.0137931034482754,2004-05-01,4,5
32.61538461538461,0.21730769230769229,0.9000000000000001,6.099999999999999,2004-06-01,4,6
17.53846153846154,0.144,1.5769230769230769,3.953333333333333,2004-07-01,4,7
14.375,0.33999999999999997,1.5875000000000001,3.0142857142857142,2004-08-01,4,8
17.0,0.22999999999999995,1.6615384615384612,2.3549999999999995,2004-09-01,4,9
4.3076923076923075,0.23548387096774182,0.676923076923077,3.558333333333333,2004-10-01,4,10
8.071428571428571,0.42666666666666664,1.757142857142857,2.285,2004-11-01,4,11
11.076923076923077,0.7419354838709677,2.7384615384615385,11.890476190476189,2005-12-01,5,12
9.833333333333334,1.2903225806451613,1.0999999999999999,7.995238095238094,2005-01-01,5,1
18.714285714285715,3.3928571428571423,3.6857142857142855,7.436842105263159,2005-02-01,5,2
23.533333333333335,1.2774193548387098,2.228666666666667,3.488235294117647,2005-03-01,5,3
36.30769230769231,1.2111111111111112,3.123076923076923,4.4111111111111105,2005-04-01,5,4
46.6875,0.23064516129032256,2.01875,2.3857142857142857,2005-05-01,5,5
25.0,0.22666666666666663,1.3933333333333333,2.760869565217392,2005-06-01,5,6
23.9375,0.19193548387096765,1.1662500000000002,3.076190476190477,2005-07-01,5,7
16.642857142857142,0.2903225806451612,1.2242857142857144,3.3950000000000005,2005-08-01,5,8
22.866666666666667,0.37413793103448273,2.143333333333333,5.145000000000001,2005-09-01,5,9
8.6875,0.7758620689655176,2.2862500000000003,5.823809523809524,2005-10-01,5,10
11.933333333333334,0.41333333333333316,2.7526666666666673,5.735,2005-11-01,5,11
11.076923076923077,0.7419354838709677,2.7384615384615385,11.890476190476189,2006-12-01,6,12
10.071428571428571,3.246774193548387,1.941875,9.58181818181818,2006-01-01,6,1
23.076923076923077,4.314285714285714,7.563076923076924,7.436842105263159,2006-02-01,6,2
20.071428571428573,2.286666666666666,2.8200000000000003,5.373333333333333,2006-03-01,6,3
23.416666666666668,0.7866666666666666,3.7183333333333337,4.52,2006-04-01,6,4
37.888888888888886,0.49516129032258066,1.96,4.266666666666666,2006-05-01,6,5
