date,TSP,SO2,SO4,NO2,YY,MM,TSP_resid,SO2_resid,SO4_resid,NO2_resid
1993-11-01,23.93103448275862,4.0458620689655165,6.746666666666667,0.0,93,11,0.1055717319390368,-0.22484540912898282,0.28321484590891277,0.0
1994-12-01,25.55,2.88741935483871,4.134782608695652,0.0,94,12,0.13349977416479408,0.6902365221816948,0.7598865531333456,0.0
1994-01-01,24.866666666666667,2.2246666666666663,3.903225806451613,0.0,94,1,0.27048211323906335,-0.15973153617729285,-0.3438037614100147,0.0
1994-02-01,34.357142857142854,3.831785714285714,4.414285714285715,0.0,94,2,0.07937932810544623,-0.4416513975560783,-0.3516874076213661,0.0
1994-03-01,33.55172413793103,2.43516129032258,3.3275862068965503,0.0,94,3,0.22864244278158985,0.12218465740526474,0.012887358391340697,0.0
1994-04-01,60.36666666666667,1.1566666666666667,3.5466666666666664,0.0,94,4,-0.09200186354774154,0.1375356855990013,-0.4546831859435634,0.0
1994-05-01,47.45161290322581,0.20999999999999996,1.6548387096774193,0.0,94,5,0.3872077025284266,-0.048587129776304805,0.09952272265906092,0.0
1994-06-01,33.84,0.4516666666666667,1.3299999999999996,0.0,94,6,-0.33337822656587024,-1.1762435925814057,-0.41371904220091527,0.0
1994-07-01,28.741935483870968,0.1906451612903226,1.1290322580645165,0.0,94,7,-0.17174354946916548,0.35569640504464906,-0.35160731093411524,0.0
1994-08-01,31.066666666666666,0.1806451612903226,1.5161290322580645,0.0,94,8,-0.31676185619246366,-0.3543769241608048,-0.28103061162903126,0.0
1994-09-01,41.36666666666667,0.32249999999999995,1.9700000000000002,0.0,94,9,0.05414425151622737,-0.02137193233709489,0.013659331775408956,0.0
1994-10-01,34.13636363636363,0.49000000000000005,1.4032258064516128,0.0,94,10,0.3632203287458209,0.1436376783696205,0.24202507966447473,0.0
1994-11-01,27.47826086956522,0.9183333333333334,1.460869565217391,0.0,94,11,0.21864297977519476,-0.22354825531188427,-0.5261782983625964,0.0
1995-12-01,10.0,1.0076666666666667,2.6900000000000004,0.0,95,12,0.14418696163160627,-0.6717694450278048,-0.5151391926522899,0.0
1995-01-01,34.03448275862069,3.1990322580645163,5.062068965517242,0.0,95,1,-0.793869148815316,-0.5296967302666387,0.2423172260559565,0.0
1995-02-01,28.857142857142858,1.2042857142857142,1.671428571428572,0.0,95,2,0.6086977664752338,0.5472336194169872,0.4440929421142874,0.0
1995-03-01,26.516129032258064,0.9409677419354839,2.6322580645161286,0.0,95,3,-0.04540371348870931,-0.9731700517528511,-1.1683269872594033,0.0
1995-04-01,57.666666666666664,0.8973333333333335,3.9933333333333327,0.0,95,4,-0.26719072421216694,-0.2445669179005072,0.0055570546961685174,0.0
1995-05-01,61.903225806451616,0.5099999999999999,3.080645161290323,0.0,95,5,0.372229923984678,0.25647646733901364,0.44678523601731357,0.0
1995-06-01,42.357142857142854,0.5742857142857142,2.971428571428571,0.0,95,6,0.015234676302468664,0.2314853174713164,0.2928901787489129,0.0
1995-07-01,36.483870967741936,0.3822580645161291,1.8967741935483868,0.0,95,7,0.022434450886719137,0.46229610454134107,0.2725026314598501,0.0
1995-08-01,34.05555555555556,0.41362068965517235,2.1777777777777785,0.0,95,8,-0.10127382839587051,0.4987609623251048,-0.04631946685051824,0.0
1995-09-01,28.31578947368421,0.68,2.7550000000000003,0.0,95,9,0.053842176387304264,0.730258102398171,-0.03789483454129661,0.0
1995-10-01,12.76923076923077,0.4227419354838711,1.7150000000000003,0.0,95,10,-0.12059004295469711,0.7032158691353634,0.35189429026291497,0.0
1995-11-01,12.833333333333334,0.5750000000000001,1.416,0.0,95,11,-0.7150148962423764,-0.5108558773596272,-0.33621197435943306,0.0
1996-12-01,13.058823529411764,1.88741935483871,2.5655172413793106,0.0,96,12,-0.3466091627437331,-0.9289238626123967,-0.42815843442598445,0.0
1996-01-01,18.5,5.070322580645161,3.3150000000000004,0.0,96,1,-0.1312520166509774,0.40121239909316875,0.11368523901388139,0.0
1996-02-01,13.894736842105264,4.258620689655173,3.373684210526315,0.0,96,2,-0.032141809204548455,0.7711210841581354,-0.06250145804241414,0.0
1996-03-01,19.483870967741936,2.8477419354838713,4.195161290322582,0.0,96,3,-0.5007134221720051,0.3211328040295707,0.07727742696830697,0.0
1996-04-01,43.63333333333333,1.3916666666666668,3.9733333333333323,0.0,96,4,-0.20010080390338514,0.4773527258338579,0.12227597644368271,0.0
1996-05-01,56.17391304347826,0.5960869565217392,3.465217391304348,0.0,96,5,0.3073083339766205,0.236559608634692,0.0688409284695688,0.0
